id,lossyear,longitude,latitude
0,19.0,146.3853413367878,-42.615095548252015
1,19.0,146.4131891105955,-42.64923152904856
3,19.0,146.47337623463147,-43.085812757130654
7,19.0,146.39881606604956,-42.680672563992744
15,19.0,146.35569693241183,-42.65641805132151
19,19.0,146.37905312979893,-42.92142106013678
21,19.0,146.3314424197406,-43.13791504360958
23,19.0,145.62446829113856,-42.95196377979684
27,19.0,146.27844181797758,-42.962743563206274
29,19.0,146.30000138479642,-42.633960169218525
30,19.0,145.75472400733588,-42.91513285314794
31,19.0,146.36557840053715,-43.121745368495425
32,19.0,145.69004530687926,-42.3797369438127
33,19.0,146.40779921889077,-42.67079109586743
43,19.0,145.96852304495633,-42.89626823218143
46,19.0,146.3224592668994,-42.57736630631899
47,19.0,145.5759592657961,-42.646536583196195
51,19.0,146.29730643894408,-42.621383755240856
52,19.0,146.33503568087707,-42.455195427678746
55,19.0,145.58763736448964,-42.60880734126319
56,19.0,145.52206034874894,-42.327634657333775
57,19.0,146.25867888172695,-42.6186888093885
64,19.0,145.62985818284324,-42.78218219109824
67,19.0,146.40779921889077,-42.6968422391069
68,19.0,145.7187913959711,-42.820809748315384
72,19.0,146.29281486252347,-42.64024837620737
75,19.0,145.5211620334648,-42.72648664348284
77,19.0,145.7232829723917,-42.92052274485266
80,19.0,145.5615862212502,-42.61329891768378
90,19.0,146.32515421275178,-42.94387894223976
92,19.0,146.18232208257675,-43.06515150559589
93,19.0,145.64423122738918,-42.79386028979181
97,19.0,146.3808497603672,-42.691452347402176
98,19.0,145.53284013215836,-42.58634945916019
100,19.0,146.33773062672947,-42.62497701637733
102,19.0,146.469782973495,-43.051676776334105
103,19.0,145.7610122143247,-42.92142106013678
105,19.0,146.43385036213022,-43.16845776326964
106,19.0,145.61638345358148,-42.820809748315384
107,19.0,145.6253666064227,-42.82799627058834
109,19.0,146.48595264860916,-43.19630553707735
111,19.0,145.55170475312485,-42.65641805132151
112,19.0,145.70711329727754,-42.80014849678064
116,19.0,145.514873826476,-42.69774055439102
122,19.0,145.612790192445,-42.79026702865532
123,19.0,145.56967105880727,-42.6052140801267
126,19.0,146.0781175096189,-42.924116005989134
127,19.0,146.30000138479642,-42.49741624603236
129,19.0,146.39612112019722,-42.70941865308457
134,19.0,146.44013856911909,-43.155881349291974
135,19.0,146.3125777987741,-42.552213478363655
145,19.0,145.54272160028364,-42.614197232967896
149,19.0,145.52834855573775,-42.743554633881104
150,19.0,145.650519434378,-42.94387894223976
151,19.0,146.32605252803592,-42.55580673950013
152,19.0,146.37456155337833,-42.57467136046664
157,19.0,145.66579079420802,-42.775893984109416
163,19.0,146.2532889900222,-42.486636462622926
167,19.0,146.30898453763763,-42.58994272029667
170,19.0,145.71968971125523,-42.827097955304225
176,19.0,146.2164580633733,-42.467771841656415
178,19.0,145.58224747278496,-42.8306912164407
180,19.0,145.77628357415472,-42.831589531724816
181,19.0,146.30179801536468,-42.69774055439102
182,19.0,146.4886475944615,-43.18911901480439
183,19.0,145.80682629381482,-42.93848905053504
184,19.0,145.7295711793805,-42.91782779900029
186,19.0,145.57056937409135,-42.878301926499034
190,19.0,145.69453688329986,-42.812724910758305
192,19.0,146.4976307473027,-43.097490855824205
193,19.0,146.07632087905068,-42.92681095184149
195,19.0,146.43385036213022,-43.15138977287137
198,19.0,145.69184193744752,-42.66270625831035
199,19.0,146.29011991667113,-42.51448423643063
200,19.0,145.58584073392143,-42.628570277513816
202,19.0,146.41139248002725,-43.00676101212812
206,19.0,146.3035946459329,-42.45878868881522
209,19.0,145.56068790596606,-42.684265825129216
213,19.0,145.60111209375145,-42.84326763041838
216,19.0,146.3035946459329,-42.50011119188471
217,19.0,145.7017234055728,-42.82530132473599
218,19.0,146.4293587857096,-43.17025439383788
222,19.0,146.0655410956412,-42.65821468188976
224,19.0,146.37456155337833,-43.15857629514433
227,19.0,146.40510427303843,-42.691452347402176
229,19.0,146.33952725729768,-42.93759073525092
234,20.0,145.55799296011372,-42.75972430899526
235,19.0,146.11405012098368,-42.95735367150155
237,19.0,145.73496107108525,-42.909742961443214
242,19.0,145.5912306256261,-42.59353598143315
244,19.0,145.70711329727754,-42.90794633087498
248,19.0,146.28562834025053,-42.629468592797934
253,19.0,146.39342617434488,-43.00496438155989
255,19.0,145.5382300238631,-42.615095548252015
261,19.0,146.31437442934237,-42.501009507168845
263,19.0,145.5939255714785,-42.88908170990847
265,19.0,146.39073122849248,-42.66719783473096
268,19.0,146.4464267761079,-43.12354199906366
269,19.0,146.4140874258796,-42.66180794302623
270,19.0,146.45181666781264,-43.12533862963191
274,19.0,145.55799296011372,-42.61329891768378
275,19.0,145.78167346585946,-42.540535379670104
282,19.0,146.31347611405823,-42.58994272029667
283,19.0,146.32335758218352,-42.51178929057828
286,19.0,145.94696347813743,-42.216243562102946
287,19.0,146.28383170968226,-42.685164140413335
295,19.0,146.28742497081873,-42.52975559626066
301,19.0,146.25508562059048,-42.962743563206274
304,19.0,145.75202906148354,-42.92950589769384
308,19.0,146.26496708871576,-42.44711059012167
309,19.0,146.36288345468478,-42.71750349064165
310,19.0,146.37096829224186,-43.14599988116666
312,19.0,146.33503568087707,-42.50729771415767
315,19.0,146.3296457891724,-42.54682358665893
316,19.0,146.46079982065385,-43.047185199913514
317,19.0,145.612790192445,-42.96813345491098
318,19.0,146.30988285292176,-42.65731636660564
319,19.0,146.31167948348997,-42.673486041719784
323,19.0,145.5310435015901,-42.69504560853865
325,19.0,145.69902845972047,-42.834284477577185
329,19.0,146.4715796040633,-42.74085968802875
331,19.0,145.67926552346984,-42.783978821666494
332,19.0,146.35839187826417,-42.49202635432765
333,19.0,145.5256536098854,-42.68965571683394
335,19.0,146.08350740132363,-42.94657388809212
339,19.0,146.45271498309677,-42.67707930285627
343,19.0,146.02511690785587,-42.59892587313787
345,19.0,146.46708802764266,-43.136118413041345
347,19.0,146.2425092066128,-42.94926883394447
349,19.0,145.55350138369312,-42.93938736581916
352,19.0,145.54990812255664,-42.78038556053001
353,19.0,146.31796769047884,-42.64473995262796
354,19.0,146.29191654723934,-42.96004861735392
355,19.0,145.59662051733085,-42.86303056666901
356,19.0,146.3368323114453,-42.51178929057828
358,19.0,145.62446829113856,-42.81901311774715
363,19.0,146.2631704581475,-42.603417449558464
366,19.0,145.51307719590773,-42.73546979632404
372,19.0,145.72058802653936,-42.788470398087085
373,19.0,146.4131891105955,-42.63665511507088
375,19.0,145.55799296011372,-42.90345475445439
376,19.0,146.39073122849248,-42.51178929057828
380,19.0,146.08620234717597,-42.935794104682685
381,19.0,145.78975830341653,-42.94477725752388
382,19.0,146.26496708871576,-42.61958712467262
384,19.0,145.54990812255664,-42.63935006092325
392,19.0,145.74843580034707,-42.38243188966506
395,19.0,146.46439308179032,-43.07682960428946
396,19.0,146.29640812365994,-42.52256907398771
401,19.0,146.49493580145037,-43.09569422525597
409,19.0,146.31347611405823,-42.55760337006837
411,19.0,146.31976432104705,-42.64384163734384
417,19.0,145.5633828518184,-42.72289338234635
419,19.0,146.4742745499156,-43.08221949599417
423,19.0,146.2164580633733,-42.448907220689904
424,19.0,146.35569693241183,-42.26744753329777
425,19.0,145.5759592657961,-42.91962442956853
426,19.0,145.92181065018212,-43.00765932741224
433,19.0,145.61638345358148,-42.66989278058331
434,19.0,145.57865421164843,-42.94657388809212
438,19.0,146.10506696814247,-42.96903177019512
440,19.0,146.39342617434488,-43.12533862963191
441,19.0,146.31167948348997,-42.45699205824698
442,19.0,146.29730643894408,-42.44441564426931
444,19.0,145.5912306256261,-42.86303056666901
445,19.0,145.6172817688656,-42.66899446529919
447,19.0,146.33862894201354,-42.58724777444431
449,19.0,145.6972318291522,-42.77050409240469
452,19.0,146.4230705787208,-42.66899446529919
453,19.0,145.59572220204672,-42.743554633881104
454,19.0,146.27125529570458,-42.46867015694053
455,19.0,146.3359339961612,-42.603417449558464
460,19.0,146.26047551229516,-42.47855162506585
467,19.0,145.7637071601771,-42.84057268456601
468,19.0,145.6082986160244,-42.738164742176394
469,19.0,145.6487228038098,-42.82619964002011
476,19.0,146.26945866513637,-42.58634945916019
477,19.0,145.74574085449467,-42.93489578939857
481,19.0,145.64692617324152,-42.84506426098662
484,19.0,145.56967105880727,-42.648333213764445
486,19.0,145.7565206379041,-42.93309915883033
490,19.0,146.2910182319552,-42.576467991034875
491,19.0,146.31347611405823,-42.47046678750877
493,19.0,146.1652540921785,-43.05527003747058
494,19.0,146.41139248002725,-42.64384163734384
495,19.0,146.38354470621954,-42.672587726435665
498,19.0,145.71699476540283,-42.79026702865532
500,19.0,145.62446829113856,-42.73277485047167
501,19.0,145.55350138369312,-42.61689217882025
502,19.0,145.5490098072725,-42.97172671604747
506,19.0,146.29910306951228,-42.463280265235824
508,19.0,145.5022974124983,-42.672587726435665
510,19.0,146.2802384485458,-42.43273754557576
513,19.0,145.6172817688656,-42.730978219903434
515,19.0,146.49673243201858,-43.15857629514433
518,19.0,145.64782448852566,-42.768707461836456
519,19.0,145.63434975926384,-42.948370518660354
523,19.0,145.52655192516954,-42.680672563992744
