id,year,longitude,latitude
705,2019,147.98434254252055,-40.965788686608576
36,2019,146.6853786416837,-43.15767797986021
356,2019,146.3368323114453,-42.51178929057828
535,2019,145.26604049277483,-41.79583200913501
741,2019,146.5757841770211,-43.12084705321131
653,2019,146.53266504338336,-43.225949941453294
42,2019,146.7446674504356,-43.17384765497437
423,2019,146.2164580633733,-42.448907220689904
2086,2019,146.47068128877913,-42.68157087927686
603,2019,146.2613738275793,-42.59443429671727
506,2019,146.29910306951228,-42.463280265235824
422,2019,146.70514157793434,-43.128931890768385
193,2019,146.07632087905068,-42.92681095184149
816,2019,145.59033231034198,-42.74894452558583
72,2019,146.29281486252347,-42.64024837620737
88,2019,146.61351341895414,-41.86500228601221
80,2019,145.5615862212502,-42.61329891768378
477,2019,145.74574085449467,-42.93489578939857
215,2019,146.9000759945883,-42.858538990248405
449,2019,145.6972318291522,-42.77050409240469
709,2019,146.2470007830334,-42.429144284439275
485,2019,145.3504821294821,-41.77966233402087
546,2019,146.56230944775933,-42.09856425988329
71,2019,146.4886475944615,-41.96471528254948
60,2019,146.7464640810038,-43.0606599291753
278,2019,146.71053146963902,-43.04898183048175
92,2019,146.18232208257675,-43.06515150559589
585,2019,146.37545986866246,-42.930404212977976
474,2019,146.49673243201858,-42.02849566772197
1188,2019,147.9681728674064,-42.13539518653219
409,2019,146.31347611405823,-42.55760337006837
341,2019,146.59015722156704,-41.95213886857181
552,2019,146.65214097617127,-41.98178327294775
694,2019,146.88929621117882,-43.064253190311774
1431,2019,145.55080643784072,-42.74445294916522
524,2019,146.35659524769596,-41.49489638895497
703,2019,145.9532516851263,-42.218938507955315
676,2019,146.8596518068029,-43.19091564537263
390,2019,146.5191903141216,-42.02939398300609
11,2019,145.81311450080364,-41.500286280659694
126,2019,146.0781175096189,-42.924116005989134
500,2019,145.62446829113856,-42.73277485047167
680,2019,145.7610122143247,-42.93309915883033
182,2019,146.4886475944615,-43.18911901480439
480,2019,146.60722521196533,-41.89823995152464
405,2019,146.80485457447162,-43.04538856934526
616,2019,147.9169688962116,-41.50837111821677
602,2019,145.5615862212502,-42.89177665576083
527,2019,146.66381907486482,-41.88386690697872
293,2019,146.51110547656452,-41.994359686925435
418,2019,146.58656396043057,-41.90362984322935
424,2019,146.35569693241183,-42.26744753329777
249,2019,146.65663255259187,-41.8919517445358
269,2019,146.4140874258796,-42.66180794302623
287,2019,146.28383170968226,-42.685164140413335
316,2019,146.46079982065385,-43.047185199913514
143,2019,146.5254785211104,-43.225949941453294
175,2019,146.7123281002073,-41.875782069421646
682,2019,146.5614111324752,-43.253797715261
547,2019,145.51936540289654,-42.704028761379845
635,2019,145.06841113026854,-41.60538916890168
112,2019,145.70711329727754,-42.80014849678064
697,2019,146.30988285292176,-42.58545114387607
577,2019,146.62698814821596,-43.12533862963191
629,2019,145.5615862212502,-42.70492707666397
643,2019,146.4042059577543,-42.65012984433268
250,2019,146.8192276190175,-42.17132779789698
69,2019,145.3971945242563,-41.20024897576377
731,2019,146.5021223237233,-43.07323634315297
87,2019,146.65842918316014,-42.05814007209791
54,2019,145.27861690675252,-41.79762863970325
403,2019,145.47714458454294,-42.653723105469155
141,2019,146.65034434560306,-42.05454681096144
493,2019,146.1652540921785,-43.05527003747058
117,2019,146.84977033867756,-43.056168352754696
561,2019,146.19669512712267,-42.493822984895885
345,2019,146.46708802764266,-43.136118413041345
25,2019,146.514698737701,-43.15408471872374
185,2019,146.48415601804095,-42.04736028868848
3021,2019,145.38551642556274,-41.994359686925435
100,2019,146.33773062672947,-42.62497701637733
636,2019,145.69902845972047,-42.801046812064754
779,2019,146.88570295004234,-42.199175571704686
400,2019,146.61980162594296,-42.08958110704209
3896,2019,145.53284013215836,-42.56299326177309
317,2019,145.612790192445,-42.96813345491098
391,2019,146.50302063900745,-43.085812757130654
407,2019,146.51200379184866,-41.915307941922904
419,2019,146.4742745499156,-43.08221949599417
32,2019,145.69004530687926,-42.3797369438127
708,2019,146.33234073502473,-43.13971167417782
790,2019,146.54524145736104,-42.08958110704209
495,2019,146.38354470621954,-42.672587726435665
3191,2019,146.79946468276688,-43.15857629514433
534,2019,146.23891594547632,-42.44261901370107
303,2019,146.6979550556614,-42.00783441618722
436,2019,145.49600920550944,-42.71660517535753
157,2019,145.66579079420802,-42.775893984109416
204,2019,145.40258441596103,-41.728458362826046
1191,2020,148.1720904369015,-41.16611299496723
1197,2020,145.0172071590737,-41.52723573918328
1442,2020,145.6100952465926,-42.63216353865029
1120,2020,146.67998874997895,-42.390516727222135
1391,2020,145.68914699159512,-42.74175800331287
1298,2020,144.80610306730568,-41.0178909730875
1660,2020,145.2723286997637,-42.45070385125814
1432,2020,147.8316289442202,-41.56496498111629
1626,2020,148.00230884820292,-41.66377966236945
948,2020,145.76280884489296,-41.79493369385089
938,2020,145.2741253303319,-40.999924667405125
1384,2020,146.05835457336826,-42.70492707666397
1284,2020,147.04560307061564,-42.58095956745548
1054,2020,144.92647731537767,-40.95141564206267
1098,2020,145.0378684106085,-41.54250709901331
916,2020,146.58117406872583,-42.31505824335609
1087,2020,147.7983912787078,-41.56676161168454
1101,2020,146.8057528897557,-43.50173273367798
1032,2020,145.00373242981198,-41.48681155139789
973,2020,145.36305854345977,-41.99795294806191
1376,2020,146.79856636748275,-43.43974897907374
1211,2020,145.5894339950579,-42.596230927285504
1350,2020,147.89900259052916,-41.5838296020828
1623,2020,146.53086841281515,-42.518077497567106
1491,2020,145.59212894091024,-41.08885788053296
1139,2020,144.91120595554764,-40.68192105682681
1269,2020,147.2234694968713,-41.299961972301034
930,2020,147.8783413389944,-41.58293128679868
1586,2020,144.9058160638429,-40.71336209177099
1531,2020,144.94983351276477,-41.54160878372919
2103,2020,147.30431787244203,-41.229893380139714
1007,2020,147.01865361209207,-42.56119663120485
1008,2020,145.1672258115217,-40.8795504193331
926,2020,148.00500379405526,-41.65569482481237
1636,2020,147.87384976257383,-41.569456557536896
845,2020,145.28939669016194,-41.748221299076675
1664,2020,148.05890271110246,-41.28109735133452
1565,2020,147.84151041234554,-41.538015522592715
1488,2020,144.89683291100175,-40.71965029875983
870,2020,146.93151702953247,-43.06515150559589
1058,2020,146.79317647577807,-41.403268229974785
1277,2020,147.02224687322854,-42.603417449558464
1400,2020,147.77413676603658,-41.58113465623045
1603,2020,146.73837924344673,-42.9780149230363
986,2020,147.8999009058133,-41.58023634094633
905,2020,147.88642617655148,-41.57933802566221
