id,lossyear,longitude,latitude
0,19.0,146.3853413367878,-42.615095548252015
1,19.0,146.4131891105955,-42.64923152904856
2,,146.13920294893904,-41.96381696726536
3,19.0,146.47337623463147,-43.085812757130654
4,19.0,146.7258028294691,-43.19989879821382
5,19.0,146.49942737787097,-42.04197039698376
6,19.0,146.54524145736104,-43.10827063923364
7,19.0,146.39881606604956,-42.680672563992744
8,19.0,146.70693820850255,-42.006037785618986
9,19.0,147.99422401064584,-42.1174288808498
10,19.0,146.25239067473808,-42.19827725642055
11,19.0,145.81311450080364,-41.500286280659694
12,19.0,146.5847673298623,-41.99795294806191
13,19.0,146.56320776304347,-42.10215752101978
14,19.0,145.00642737566432,-40.845414438536565
15,19.0,146.35569693241183,-42.65641805132151
16,19.0,146.58386901457817,-41.896443320956394
17,19.0,146.73119272117378,-42.09227605289446
18,19.0,146.52727515167868,-42.025800721869615
19,19.0,146.37905312979893,-42.92142106013678
20,,145.9487601087057,-42.71480854478928
21,19.0,146.3314424197406,-43.13791504360958
22,19.0,146.64764939975066,-42.0249024065855
23,19.0,145.62446829113856,-42.95196377979684
24,19.0,146.67819211941077,-43.11366053093835
25,19.0,146.514698737701,-43.15408471872374
26,19.0,146.6206999412271,-41.89374837510404
27,19.0,146.27844181797758,-42.962743563206274
28,19.0,146.59554711327172,-41.95213886857181
29,19.0,146.30000138479642,-42.633960169218525
30,19.0,145.75472400733588,-42.91513285314794
31,19.0,146.36557840053717,-43.121745368495425
32,19.0,145.69004530687926,-42.3797369438127
33,19.0,146.40779921889077,-42.67079109586743
34,19.0,145.74035096279,-41.28828387360748
35,,145.7322661252329,-42.698638869675136
36,19.0,146.6853786416837,-43.15767797986021
37,19.0,146.9440934435101,-43.23942467071508
38,19.0,146.552427979634,-42.076106377780306
39,19.0,146.56949597003228,-42.1497682310781
40,19.0,145.34778718362975,-41.774272442316146
41,19.0,146.75005734214028,-43.15228808815549
42,19.0,146.7446674504356,-43.17384765497437
43,19.0,145.96852304495633,-42.89626823218143
44,19.0,147.9681728674064,-42.122818772554524
45,19.0,146.60992015781767,-41.914409626638786
46,19.0,146.3224592668994,-42.57736630631899
47,19.0,145.5759592657961,-42.646536583196195
48,,145.5337384474425,-42.761520939563496
49,19.0,146.57219091588462,-42.07430974721207
50,19.0,146.54973303378165,-43.10377906281303
51,19.0,146.29730643894408,-42.621383755240856
52,19.0,146.33503568087707,-42.455195427678746
53,8.0,145.36934675044859,-42.006037785618986
54,19.0,145.27861690675252,-41.79762863970325
55,19.0,145.58763736448964,-42.60880734126319
56,19.0,145.52206034874894,-42.327634657333775
57,19.0,146.25867888172695,-42.6186888093885
58,12.0,146.7042432626502,-43.16935607855376
59,19.0,146.55063134906578,-43.12264368377954
60,19.0,146.7464640810038,-43.0606599291753
61,19.0,146.72849777532144,-43.1388133588937
62,19.0,147.50194723494832,-41.26492767622038
63,19.0,146.90277094044063,-43.24661119298804
64,19.0,145.62985818284324,-42.782182191098244
65,19.0,145.91911570432973,-41.9934613716413
66,19.0,146.79946468276688,-43.14599988116666
67,19.0,146.40779921889077,-42.6968422391069
68,19.0,145.7187913959711,-42.820809748315384
69,19.0,145.3971945242563,-41.20024897576377
70,19.0,146.61620836480648,-41.91351131135467
71,19.0,146.4886475944615,-41.96471528254948
72,19.0,146.29281486252347,-42.64024837620737
73,,147.9555964534287,-42.09227605289446
74,19.0,146.9063642015771,-41.028670756496936
75,19.0,145.5211620334648,-42.72648664348284
76,18.0,145.0279869424832,-40.941534173937356
77,19.0,145.7232829723917,-42.92052274485266
78,19.0,147.965477921554,-42.154259807498704
79,19.0,146.59464879798765,-42.11653056556568
80,19.0,145.5615862212502,-42.61329891768378
81,19.0,146.55602124077046,-42.014122623176064
82,,145.8122161855195,-42.63126522336617
83,,146.70244663208194,-43.15677966457609
84,19.0,146.50122400843918,-42.05185186510907
85,19.0,146.4886475944615,-41.94315571573061
86,19.0,147.89810427524503,-41.93237593232118
87,19.0,146.65842918316014,-42.05814007209791
88,19.0,146.61351341895414,-41.86500228601221
89,,145.8059279785307,-43.024727317810516
90,19.0,146.32515421275178,-42.94387894223976
91,19.0,145.60021377846732,-41.06101010672525
92,19.0,146.18232208257677,-43.06515150559589
93,19.0,145.64423122738918,-42.79386028979181
94,19.0,146.70873483907081,-42.02849566772197
95,,146.56769933946407,-42.37434705210799
96,,146.1059652834266,-42.5818578827396
97,19.0,146.3808497603672,-42.691452347402176
98,19.0,145.53284013215836,-42.58634945916019
99,,145.49151762908883,-42.685164140413335
100,19.0,146.33773062672947,-42.62497701637733
101,19.0,147.92595204905274,-41.48142165969318
102,19.0,146.469782973495,-43.051676776334105
103,19.0,145.7610122143247,-42.92142106013678
104,19.0,146.53176672809929,-43.217865103896216
105,19.0,146.43385036213022,-43.16845776326964
106,19.0,145.61638345358148,-42.820809748315384
107,19.0,145.6253666064227,-42.82799627058834
108,,145.65590932608274,-42.800148496780636
109,19.0,146.48595264860916,-43.19630553707735
110,19.0,146.79766805219862,-41.97729169652716
111,19.0,145.55170475312485,-42.65641805132151
112,19.0,145.70711329727754,-42.800148496780636
113,,147.97356275911108,-42.10664909744037
114,19.0,146.7446674504356,-42.139886762952784
115,19.0,146.81832930373338,-43.00496438155989
116,19.0,145.514873826476,-42.69774055439102
117,19.0,146.84977033867756,-43.056168352754696
118,19.0,146.16255914632615,-41.54879530600215
119,19.0,146.71412473077555,-43.11905042264307
120,19.0,145.49600920550944,-42.73367316575579
121,7.0,146.35210367127536,-43.134321782473094
122,19.0,145.612790192445,-42.79026702865532
123,19.0,145.56967105880727,-42.6052140801267
124,19.0,145.25795565521776,-41.81918820652213
125,19.0,147.21807960516657,-42.24858291233126
126,19.0,146.0781175096189,-42.924116005989134
127,19.0,146.30000138479642,-42.49741624603236
128,,146.52547852111041,-42.05814007209791
129,19.0,146.39612112019722,-42.70941865308457
130,,145.68555373045865,-42.02849566772197
131,,146.49224085559803,-41.92608772533235
132,,145.73675770165346,-41.55238856713862
133,18.0,148.1343611949685,-41.306250179289876
134,19.0,146.44013856911909,-43.155881349291974
135,19.0,146.3125777987741,-42.552213478363655
136,19.0,146.67819211941077,-43.20528868991855
137,19.0,147.73281426296705,-42.307871721083146
138,19.0,145.49151762908883,-42.745351264449354
139,19.0,146.9189406155548,-43.21517015804386
140,20.0,146.9979923605573,-43.04988014576587
141,19.0,146.65034434560306,-42.05454681096144
142,19.0,145.49870415136184,-42.78757208280297
143,19.0,146.52547852111041,-43.225949941453294
144,19.0,146.48954590974563,-42.05364849567732
145,19.0,145.54272160028364,-42.614197232967896
146,19.0,146.85156696924582,-43.032812155367594
147,19.0,146.777905115948,-43.05347340690234
148,19.0,145.82569091478132,-41.14635005871661
149,19.0,145.52834855573775,-42.743554633881104
150,19.0,145.650519434378,-42.94387894223976
151,19.0,146.32605252803592,-42.55580673950013
152,19.0,146.37456155337833,-42.57467136046664
153,19.0,146.60992015781767,-42.13359855596396
154,19.0,146.69436179452492,-42.02041083016489
155,19.0,146.78419332293686,-43.06694813616414
156,,145.54631486142017,-42.916929483716174
157,19.0,145.66579079420802,-42.775893984109416
158,19.0,146.61531004952235,-42.03568218999493
159,19.0,146.81114278146043,-42.15515812278282
160,19.0,146.47966444162034,-42.025800721869615
161,19.0,146.52727515167868,-41.99076642578895
162,19.0,146.4634947665062,-41.972800120106555
163,19.0,146.2532889900222,-42.486636462622926
164,19.0,146.25059404416987,-41.487709866682025
165,,145.62985818284324,-42.7893687133712
166,19.0,146.90816083214537,-43.19271227594086
167,19.0,146.30898453763763,-42.589942720296676
168,19.0,146.49224085559803,-43.210678581623256
169,,147.4399634803441,-42.327634657333775
170,19.0,145.71968971125523,-42.827097955304225
171,19.0,146.8928894723153,-42.75163947143818
172,8.0,146.36917166167365,-42.71750349064165
173,19.0,146.52278357525807,-42.0716148013597
174,19.0,146.82012593430164,-43.03011720951524
175,19.0,146.7123281002073,-41.875782069421646
176,19.0,146.2164580633733,-42.467771841656415
177,19.0,146.64046287747772,-42.04017376641552
178,19.0,145.58224747278496,-42.8306912164407
179,19.0,146.6934634792408,-42.04646197340436
180,19.0,145.77628357415472,-42.831589531724816
181,19.0,146.30179801536468,-42.69774055439102
182,19.0,146.4886475944615,-43.18911901480439
183,19.0,145.80682629381482,-42.93848905053504
184,19.0,145.7295711793805,-42.91782779900029
185,19.0,146.48415601804095,-42.04736028868848
186,19.0,145.57056937409135,-42.878301926499034
187,19.0,146.56230944775933,-41.90722310436584
188,19.0,147.93403688660982,-42.11203898914509
189,18.0,145.69004530687926,-42.98070986888867
190,19.0,145.69453688329986,-42.812724910758305
191,,145.48343279153175,-42.526162335124184
192,19.0,146.4976307473027,-43.097490855824205
193,19.0,146.07632087905068,-42.92681095184149
194,8.0,146.38444302150367,-42.70313044609573
195,19.0,146.43385036213022,-43.15138977287137
196,19.0,146.63776793162538,-42.04197039698376
197,19.0,146.55063134906578,-43.10467737809715
198,19.0,145.69184193744752,-42.66270625831035
199,19.0,146.29011991667113,-42.51448423643063
200,19.0,145.58584073392143,-42.628570277513816
